"","r","theo","iso"
"1",0,0,0
"2",0.01953125,0.00119842249053566,0.00792353785965434
"3",0.0390625,0.00479368996214263,0.00792353785965434
"4",0.05859375,0.0107858024148209,0.023770613578963
"5",0.078125,0.0191747598485705,0.0316941514386173
"6",0.09765625,0.0299605622633914,0.0316941514386173
"7",0.1171875,0.0431432096592837,0.0554647650175804
"8",0.13671875,0.0587227020362472,0.0633883028772347
"9",0.15625,0.0766990393942821,0.0792353785965434
"10",0.17578125,0.0970722217333882,0.110929530035161
"11",0.1953125,0.119842249053566,0.142623681473778
"12",0.21484375,0.145009121354815,0.174317832912395
"13",0.234375,0.172572838637135,0.21488225564553
"14",0.25390625,0.202533400900526,0.230729331364838
"15",0.2734375,0.234890808144989,0.262423482803456
"16",0.29296875,0.269645060370523,0.286194096382419
"17",0.3125,0.306796157577128,0.333735323540345
"18",0.33203125,0.346344099764805,0.352599646675354
"19",0.3515625,0.388288886933553,0.423911487412243
"20",0.37109375,0.432630519083372,0.495223328149132
"21",0.390625,0.479368996214263,0.542764555307058
"22",0.41015625,0.528504318326225,0.598229320324638
"23",0.4296875,0.580036485419258,0.629923471763256
"24",0.44921875,0.633965497493363,0.661617623201873
"25",0.46875,0.690291354548539,0.717082388219453
"26",0.48828125,0.749014056584786,0.780470691096688
"27",0.5078125,0.810133603602104,0.835935456114268
"28",0.52734375,0.873649995600494,0.891400221131849
"29",0.546875,0.939563232579955,0.93101791043012
"30",0.56640625,1.00787331454049,1.01361817349683
"31",0.5859375,1.07858024148209,1.10473557464602
"32",0.60546875,1.15168401340477,1.19981802896187
"33",0.625,1.22718463030851,1.27905340755841
"34",0.64453125,1.30508209219333,1.35828878615495
"35",0.6640625,1.38537639905922,1.45494222160743
"36",0.68359375,1.46806755090618,1.51040698662501
"37",0.703125,1.55315554773421,1.66095420595844
"38",0.72265625,1.64064038954331,1.76396019813395
"39",0.7421875,1.73052207633349,1.87488972816911
"40",0.76171875,1.82280060810473,1.97183622222433
"41",0.78125,1.91747598485705,2.04314806296122
"42",0.80078125,2.01454820659044,2.13823051727707
"43",0.8203125,2.1140172733049,2.28621555460797
"44",0.83984375,2.21588318500043,2.45260984966071
"45",0.859375,2.32014594167703,2.57256675749448
"46",0.87890625,2.42680554333471,2.65972567395068
"47",0.8984375,2.53586198997345,2.82084187988419
"48",0.91796875,2.64731528159327,2.95554202349831
"49",0.9375,2.76116541819415,3.07650658058546
"50",0.95703125,2.87741239977611,3.20779077009436
"51",0.9765625,2.99605622633914,3.27297905239918
"52",0.99609375,3.11709689788324,3.39975565815365
"53",1.015625,3.24053441440842,3.52653226390812
"54",1.03515625,3.36636877591466,3.70950731863215
"55",1.0546875,3.49459998240198,3.9075957651235
"56",1.07421875,3.62522803387036,4.11881351393534
"57",1.09375,3.75825293031982,4.21389596825119
"58",1.11328125,3.89367467175035,4.30227957953426
"59",1.1328125,4.03149325816195,4.44272302506269
"60",1.15234375,4.17170868955462,4.6328879336944
"61",1.171875,4.31432096592837,4.74215590854638
"62",1.19140625,4.45933008728318,4.88185404344471
"63",1.2109375,4.60673605361907,5.06508802033718
"64",1.23046875,4.75653886493602,5.20771170181096
"65",1.25,4.90873852123405,5.37826585229596
"66",1.26953125,5.06333502251315,5.55729218873573
"67",1.2890625,5.22032836877332,5.74971670721973
"68",1.30859375,5.37971856001456,5.92166786770148
"69",1.328125,5.54150559623688,6.08013862489456
"70",1.34765625,5.70568947744026,6.19106815492973
"71",1.3671875,5.87227020362472,6.31595171556131
"72",1.38671875,6.04124777479025,6.467565348421
"73",1.40625,6.21262219093685,6.61018902989478
"74",1.42578125,6.38639345206452,6.81888912554746
"75",1.4453125,6.56256155817326,6.99063355042138
"76",1.46484375,6.74112650926307,7.16860565546609
"77",1.484375,6.92208830533396,7.35360923829723
"78",1.50390625,7.10544694638591,7.50147176792513
"79",1.5234375,7.29120243241894,7.69754463285217
"80",1.54296875,7.47935476343304,7.8322447764663
"81",1.5625,7.66990393942821,7.99071553365938
"82",1.58203125,7.86284996040445,8.24603794007105
"83",1.6015625,8.05819282636176,8.51944035389553
"84",1.62109375,8.25593253730014,8.72177760056532
"85",1.640625,8.4560690932196,8.88991027795285
"86",1.66015625,8.65860249412012,9.09859058362155
"87",1.6796875,8.86353274000172,9.23739535301813
"88",1.69921875,9.07085983086439,9.40347817400937
"89",1.71875,9.28058376670813,9.60374762569994
"90",1.73828125,9.49270454753294,9.84968832678707
"91",1.7578125,9.70722217333882,10.0767018495865
"92",1.77734375,9.92413664412578,10.3788678663586
"93",1.796875,10.1434479598938,10.6058284257629
"94",1.81640625,10.3651561206429,10.905233310674
"95",1.8359375,10.5892611263731,11.1392734577972
"96",1.85546875,10.8157629770843,11.3144905763179
"97",1.875,11.0446616727766,11.6597859789395
"98",1.89453125,11.27595721345,11.9078177618976
"99",1.9140625,11.5096495991045,12.2473670659079
"100",1.93359375,11.74573882974,12.5205621511895
"101",1.953125,11.9842249053566,12.7681052158099
"102",1.97265625,12.2251078259542,12.9351699220866
"103",1.9921875,12.468387591533,13.2664210078505
"104",2.01171875,12.7140642020928,13.488514926292
"105",2.03125,12.9621376576337,13.8389650509545
"106",2.05078125,13.2126079581556,14.0729881010175
"107",2.0703125,13.4654751036586,14.3870188193898
"108",2.08984375,13.7207390941427,14.5843230408708
"109",2.109375,13.9783999296079,14.7906406439059
"110",2.12890625,14.2384576100541,15.2027106137962
"111",2.1484375,14.5009121354815,15.3995136042868
"112",2.16796875,14.7657635058898,15.6750093277524
"113",2.1875,15.0330117212793,16.060521459041
