"","r","theo","iso"
"1",0,0,0
"2",0.01953125,0.00119842249053566,0
"3",0.0390625,0.00479368996214263,0.0128155495334339
"4",0.05859375,0.0107858024148209,0.0256310990668678
"5",0.078125,0.0191747598485705,0.0640777476671695
"6",0.09765625,0.0299605622633914,0.106796246111949
"7",0.1171875,0.0431432096592837,0.132427345178817
"8",0.13671875,0.0587227020362472,0.175145843623597
"9",0.15625,0.0766990393942821,0.200776942690464
"10",0.17578125,0.0970722217333882,0.290485789424502
"11",0.1953125,0.119842249053566,0.350291687247193
"12",0.21484375,0.145009121354815,0.405825735225407
"13",0.234375,0.172572838637135,0.486990882270488
"14",0.25390625,0.202533400900526,0.54679678009318
"15",0.2734375,0.234890808144989,0.632233776982739
"16",0.29296875,0.269645060370523,0.747573722783644
"17",0.3125,0.306796157577128,0.815923320295292
"18",0.33203125,0.346344099764805,0.939806965785153
"19",0.3515625,0.388288886933553,1.07223431096397
"20",0.37109375,0.432630519083372,1.17048685738696
"21",0.390625,0.479368996214263,1.29009865303235
"22",0.41015625,0.528504318326225,1.45670079696699
"23",0.4296875,0.580036485419258,1.52666696860156
"24",0.44921875,0.633965497493363,1.6398721523222
"25",0.46875,0.690291354548539,1.74666839843415
"26",0.48828125,0.749014056584786,1.87482389376849
"27",0.5078125,0.810133603602104,2.00837710540481
"28",0.52734375,0.873649995600494,2.20123631638654
"29",0.546875,0.939563232579955,2.37638216001014
"30",0.56640625,1.00787331454049,2.53894634816656
"31",0.5859375,1.07858024148209,2.70127664225672
"32",0.60546875,1.15168401340477,2.85079138681345
"33",0.625,1.22718463030851,3.02593723043704
"34",0.64453125,1.30508209219333,3.23999367049037
"35",0.6640625,1.38537639905922,3.42368321380292
"36",0.68359375,1.46806755090618,3.59320971532878
"37",0.703125,1.55315554773421,3.81593951969912
"38",0.72265625,1.64064038954331,3.99962906301167
"39",0.7421875,1.73052207633349,4.21866697070739
"40",0.76171875,1.82280060810473,4.45361871215368
"41",0.78125,1.91747598485705,4.67148305422206
"42",0.80078125,2.01454820659044,4.88507554644596
"43",0.8203125,2.1140172733049,5.10721173835881
"44",0.83984375,2.21588318500043,5.33279479314485
"45",0.859375,2.32014594167703,5.64100770177704
"46",0.87890625,2.42680554333471,5.93665574551915
"47",0.8984375,2.53586198997345,6.20718555132471
"48",0.91796875,2.64731528159327,6.50125487189583
"49",0.9375,2.76116541819415,6.76610956225346
"50",0.95703125,2.87741239977611,7.02337093654437
"51",0.9765625,2.99605622633914,7.30104117643544
"52",0.99609375,3.11709689788324,7.65451023474141
"53",1.015625,3.24053441440842,7.91082122541009
"54",1.03515625,3.36636877591466,8.16741762180999
"55",1.0546875,3.49459998240198,8.48727156215453
"56",1.07421875,3.62522803387036,8.73994343634509
"57",1.09375,3.75825293031982,9.0055612710832
"58",1.11328125,3.89367467175035,9.31740630973009
"59",1.1328125,4.03149325816195,9.59523716987935
"60",1.15234375,4.17170868955462,9.91995885317075
"61",1.171875,4.31432096592837,10.3233415253211
"62",1.19140625,4.45933008728318,10.6063210352259
"63",1.2109375,4.60673605361907,10.9394319213214
"64",1.23046875,4.75653886493602,11.3256266175106
"65",1.25,4.90873852123405,11.5665036462941
"66",1.26953125,5.06333502251315,11.9494444185466
"67",1.2890625,5.22032836877332,12.2484739076601
"68",1.30859375,5.37971856001456,12.6079554912929
"69",1.328125,5.54150559623688,13.0137812265183
"70",1.34765625,5.70568947744026,13.3210086808372
"71",1.3671875,5.87227020362472,13.6565812490842
"72",1.38671875,6.04124777479025,14.0046869291007
"73",1.40625,6.21262219093685,14.2916934745688
"74",1.42578125,6.38639345206452,14.672704888383
"75",1.4453125,6.56256155817326,15.0947037853036
"76",1.46484375,6.74112650926307,15.3766458750392
"77",1.484375,6.92208830533396,15.7282620936948
"78",1.50390625,7.10544694638591,16.0434641120376
"79",1.5234375,7.29120243241894,16.4034735222966
"80",1.54296875,7.47935476343304,16.7382756838251
"81",1.5625,7.66990393942821,17.0975110957338
"82",1.58203125,7.86284996040445,17.5093140282272
"83",1.6015625,8.05819282636176,17.8270810335089
"84",1.62109375,8.25593253730014,18.2601130500198
"85",1.640625,8.4560690932196,18.7040392614934
"86",1.66015625,8.65860249412012,19.0253564803862
"87",1.6796875,8.86353274000172,19.3876035200805
"88",1.69921875,9.07085983086439,19.8743463350918
"89",1.71875,9.28058376670813,20.2619771525907
"90",1.73828125,9.49270454753294,20.6693618280484
"91",1.7578125,9.70722217333882,20.9941635690654
"92",1.77734375,9.92413664412578,21.4439773621965
"93",1.796875,10.1434479598938,21.8463147758286
"94",1.81640625,10.3651561206429,22.2299414621652
"95",1.8359375,10.5892611263731,22.7294503651344
"96",1.85546875,10.8157629770843,23.1844464194983
"97",1.875,11.0446616727766,23.572986031511
"98",1.89453125,11.27595721345,23.9803779238738
"99",1.9140625,11.5096495991045,24.4486438235394
"100",1.93359375,11.74573882974,24.8913379311931
"101",1.953125,11.9842249053566,25.317980279669
"102",1.97265625,12.2251078259542,25.7445483420173
"103",1.9921875,12.468387591533,26.1167325908082
"104",2.01171875,12.7140642020928,26.5182864761891
"105",2.03125,12.9621376576337,26.9033101652443
"106",2.05078125,13.2126079581556,27.3328524996874
"107",2.0703125,13.4654751036586,27.8291034585104
"108",2.08984375,13.7207390941427,28.297292886627
"109",2.109375,13.9783999296079,28.7607361036474
"110",2.12890625,14.2384576100541,29.1688498217673
"111",2.1484375,14.5009121354815,29.5323802267691
"112",2.16796875,14.7657635058898,29.9938772245304
"113",2.1875,15.0330117212793,30.4130915096558
